model_family,series_id,dataset,location_id,country,city_or_region,difficulty,primary_clue_type,gt_lat,gt_lon,pred_lat,pred_lon,error_km,distance_source,published_points,spawn_delta_km,partial,stopped_at,recording_id,model_field,source_file
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_011,Netherlands,Utrecht,medium,infrastructure,52.1124003,5.0797161,49.8992737,17.8126571,925.632141,recomputed_geodesic,,0.000000,False,2026-08-29T15:14:40.000000Z,ogrr-2026-08-29T15-15-00-000Z-9e458498-ef11-46ec-ab2a-3c89141dab28,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-03.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_012,Belgium,"Merelbeke, Merelbeke-Melle",medium,mixed,50.9874591,3.7463905,49.7738760,15.1927552,824.398992,recomputed_geodesic,,0.000000,False,2026-08-29T15:19:40.000000Z,ogrr-2026-08-29T15-20-00-000Z-0930e5d1-ce60-430e-9494-393f5857c1f0,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-04.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_013,Portugal,Coimbra,medium,infrastructure,40.2155817,-8.4337562,42.3893379,-1.2172735,650.535581,recomputed_geodesic,,0.000000,False,2026-08-29T15:24:40.000000Z,ogrr-2026-08-29T15-25-00-000Z-082b9fdd-7c61-4d86-a95e-2bfbfa5afdb7,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-05.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_014,Sweden,Uppsala,medium,architecture,59.8481151,17.6140674,60.3124151,22.1783239,259.224697,recomputed_geodesic,,0.000000,False,2026-08-29T15:29:40.000000Z,ogrr-2026-08-29T15-30-00-000Z-4db80682-ec06-4573-bee4-84d603c0e45e,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-06.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_015,Estonia,Tartu,medium,mixed,58.3478594,26.7197804,59.1509502,30.2362187,222.327601,recomputed_geodesic,,0.000000,False,2026-08-29T15:34:40.000000Z,ogrr-2026-08-29T15-35-00-000Z-1f6384f7-182f-4f2f-bee4-52b95750341d,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-07.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_016,Slovakia,Banská Bystrica,medium,mixed,48.7583857,19.1412898,48.4813764,30.6416771,847.642295,recomputed_geodesic,,0.000000,False,2026-08-29T15:39:40.000000Z,ogrr-2026-08-29T15-40-00-000Z-f74a52ef-8dd6-448e-beff-454863024741,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-08.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_017,Ireland,"Boleybeg East, County Galway",medium,infrastructure,53.2819335,-9.1382768,52.8050340,5.6610448,992.223954,recomputed_geodesic,,0.000000,False,2026-08-29T15:44:40.000000Z,ogrr-2026-08-29T15-45-00-000Z-ebeb5967-7473-4b56-8e26-091b6cf0e339,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-09.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_018,Greece,"Arcadia Regional Unit, Peloponnese",hard,landscape,37.3439407,22.5909077,41.4812526,30.9375000,852.432450,recomputed_geodesic,,0.000000,False,2026-08-29T16:02:19.187Z,ogrr-2026-08-29T16-02-18-350Z-eb7121ba-d8bb-435f-99d2-a627dcb26b9c,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-01.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_019,Romania,"Vurpăr, Sibiu County",hard,architecture,45.8911426,24.3372001,46.2901310,35.1562500,837.231908,recomputed_geodesic,,0.000000,False,2026-08-29T16:08:23.350Z,ogrr-2026-08-29T16-03-23-159Z-b3b1a05e-5550-4f95-9046-6e25126ec49c,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-02.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_020,Bulgaria,"Vărbina, Madan Municipality, Smolyan Province",hard,architecture,41.5643939,24.9701484,43.8075525,35.5078125,898.118010,recomputed_geodesic,,0.000000,False,2026-08-29T16:14:12.113Z,ogrr-2026-08-29T16-09-11-977Z-1fa5668f-8a8d-45b1-a75b-c28d26635eb5,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-03.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_021,Hungary,"Csongrád District, Csongrád-Csanád County",hard,landscape,46.7060180,20.0496719,47.2529990,31.9921875,909.785458,recomputed_geodesic,,0.000000,False,2026-08-29T16:20:11.490Z,ogrr-2026-08-29T16-15-10-986Z-1cabaf9a-7347-4c81-8b57-bf78697a0ebf,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-04.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_022,Latvia,"Ranka Parish, Gulbene Municipality",hard,infrastructure,57.1907677,26.1476727,58.0549891,30.2343750,262.425016,recomputed_geodesic,,0.000000,False,2026-08-29T16:26:18.375Z,ogrr-2026-08-29T16-21-17-976Z-db216478-283f-42f4-9a01-aaece9000d2b,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-05.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_023,Lithuania,"Pašakiai, Radviliškis District Municipality, Šiauliai County",hard,infrastructure,55.5966197,23.8297989,56.7293400,29.1796875,355.395302,recomputed_geodesic,,0.000000,False,2026-08-29T16:32:13.350Z,ogrr-2026-08-29T16-27-13-102Z-a7f1b958-f633-4016-8a2c-ea72c6b8d028,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-06.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_024,Denmark,"Lemvig Municipality, Central Denmark Region",hard,landscape,56.6011250,8.1639420,55.1549279,20.3906250,780.889429,recomputed_geodesic,,0.000000,False,2026-08-29T16:38:12.100Z,ogrr-2026-08-29T16-33-11-707Z-921d0205-4cbd-4eb0-b75f-95ba8cf19103,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-07.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-hard,loc_025,Finland,"Utajärvi Municipality, North Ostrobothnia",hard,landscape,64.9428390,26.9554129,65.2001189,30.9375000,189.505175,recomputed_geodesic,,0.000000,False,2026-08-29T16:43:55.342Z,ogrr-2026-08-29T16-38-54-908Z-6cb28a5d-77f0-4174-89b4-350cd021130b,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-hard/rounds/round-08.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_001,France,Paris,easy,landmark,48.8521298,2.3696389,48.8529992,2.3698068,0.097468,recomputed_geodesic,,0.000000,False,2026-08-31T21:38:09.477Z,ogrr-2026-08-31T21-38-08-670Z-2f71fae7-f3af-4e62-9a70-8cb488a9aea4,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-01.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_002,Germany,Berlin,easy,landmark,52.5206008,13.4151229,52.5214976,13.4129977,0.175408,recomputed_geodesic,,0.000000,False,2026-08-31T21:39:15.610Z,ogrr-2026-08-31T21-38-49-049Z-ab720985-c010-4513-bcc9-ec60d80f3706,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-02.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_003,Austria,Salzburg,easy,landmark,47.8005438,13.0529765,47.8005030,13.0530024,0.004932,recomputed_geodesic,,0.000000,False,2026-08-31T21:41:09.558Z,ogrr-2026-08-31T21-40-40-560Z-96ecdbe7-c3a1-441c-990e-bfba77fb3d1b,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-03.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_004,Czechia,Český Krumlov,easy,landmark,48.8126024,14.3129755,48.8125037,14.3129969,0.011087,recomputed_geodesic,,0.000000,False,2026-08-31T21:42:24.597Z,ogrr-2026-08-31T21-41-53-203Z-19e162e8-3244-4c19-9959-3a01ede2b42e,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-04.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_005,Croatia,Pula,easy,landmark,44.8747121,13.8493020,44.8746989,13.8492966,0.001524,recomputed_geodesic,,0.000000,False,2026-08-31T21:43:45.373Z,ogrr-2026-08-31T21-43-11-866Z-0c92caea-79b6-4022-a515-45dd319c4c40,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-05.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_006,Poland,"Sieniawka, Gmina Bogatynia",easy,text,50.9008842,14.8455043,50.9008965,14.8454905,0.001682,recomputed_geodesic,,0.000000,False,2026-08-31T21:45:30.224Z,ogrr-2026-08-31T21-44-33-790Z-fc8c83cf-2049-4984-87a7-297fb17f94cf,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-06.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_007,Slovenia,"Višnja Gora, Ivančna Gorica Municipality",easy,text,45.9577599,14.7424922,45.9578051,14.7424936,0.005027,recomputed_geodesic,,0.000000,False,2026-08-31T21:47:11.074Z,ogrr-2026-08-31T21-46-20-623Z-a59c9ff3-2347-4915-8f64-40974a1df2d4,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-07.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-easy,loc_008,Norway,"Flåm, Aurland Municipality",easy,mixed,60.8634735,7.1179637,60.8635036,7.1180034,0.003987,recomputed_geodesic,,0.000000,False,2026-08-31T21:48:41.695Z,ogrr-2026-08-31T21-48-02-285Z-27ecda8d-e273-473a-9106-c00cd5f135d7,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-easy/rounds/round-08.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_009,Spain,Valencia,medium,architecture,39.4667928,-0.3661343,39.4667978,-0.3660893,0.003908,recomputed_geodesic,,0.000000,False,2026-08-31T21:54:59.865Z,ogrr-2026-08-31T21-54-06-436Z-9dc8ccfe-cf54-41c2-82d8-9e730362b8b7,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-01.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_010,Italy,Bologna,medium,architecture,44.4930672,11.3250143,44.4931094,11.3249946,0.004949,recomputed_geodesic,,0.000000,False,2026-08-31T21:56:44.867Z,ogrr-2026-08-31T21-55-59-528Z-d60be40d-6635-436b-b573-4337c750cfc1,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-02.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_011,Netherlands,Utrecht,medium,infrastructure,52.1124003,5.0797161,52.1123977,5.0796962,0.001396,recomputed_geodesic,,0.000000,False,2026-08-31T21:59:01.052Z,ogrr-2026-08-31T21-58-05-340Z-e546694a-3973-4dc3-b1f2-0d5ffd661c6a,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-03.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_012,Belgium,"Merelbeke, Merelbeke-Melle",medium,mixed,50.9874591,3.7463905,50.9875055,3.7464023,0.005231,recomputed_geodesic,,0.000000,False,2026-08-31T22:01:09.992Z,ogrr-2026-08-31T22-00-12-271Z-67af1352-e440-4111-9c0c-e722b0b8c63c,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-04.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_013,Portugal,Coimbra,medium,infrastructure,40.2155817,-8.4337562,40.2156054,-8.4338093,0.005228,recomputed_geodesic,,0.000000,False,2026-08-31T22:03:20.638Z,ogrr-2026-08-31T22-02-27-219Z-480c2e45-01a3-448c-b939-734d7ab6fb56,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-05.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_014,Sweden,Uppsala,medium,architecture,59.8481151,17.6140674,59.8481038,17.6141095,0.002677,recomputed_geodesic,,0.000000,False,2026-08-31T22:05:39.858Z,ogrr-2026-08-31T22-04-46-832Z-033bf8e1-663c-4c52-a5ae-cab7a6dbd43c,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-06.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_015,Estonia,Tartu,medium,mixed,58.3478594,26.7197804,59.4397965,24.6360040,170.944282,recomputed_geodesic,,0.000000,False,2026-08-31T22:07:14.580Z,ogrr-2026-08-31T22-06-40-027Z-d0562ae5-0216-49aa-93c1-30c3866144e3,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-07.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_016,Slovakia,Banská Bystrica,medium,mixed,48.7583857,19.1412898,49.2080953,18.7511945,57.588857,recomputed_geodesic,,0.000000,False,2026-08-31T22:08:46.492Z,ogrr-2026-08-31T22-08-09-982Z-241da5b6-1118-4024-8b2c-8e148713938b,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-08.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-medium,loc_017,Ireland,"Boleybeg East, County Galway",medium,infrastructure,53.2819335,-9.1382768,53.2721060,-6.1158013,201.607377,recomputed_geodesic,,0.000000,False,2026-08-31T22:10:19.751Z,ogrr-2026-08-31T22-09-41-444Z-9bed3f6f-644a-4ec2-864d-8405dc2f7634,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-medium/rounds/round-09.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_018,Greece,"Arcadia Regional Unit, Peloponnese",hard,landscape,37.3439407,22.5909077,37.4104962,22.7559900,16.381273,recomputed_geodesic,,0.000000,False,2026-08-31T22:15:02.951Z,ogrr-2026-08-31T22-14-01-298Z-ddc2531a-e1bf-460d-9c38-1868cc5fb52b,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-01.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_019,Romania,"Vurpăr, Sibiu County",hard,architecture,45.8911426,24.3372001,46.5423052,24.5574045,74.347801,recomputed_geodesic,,0.000000,False,2026-08-31T22:16:51.872Z,ogrr-2026-08-31T22-16-07-640Z-6b251f40-51ad-4f67-b63e-6dfee5c7814f,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-02.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_020,Bulgaria,"Vărbina, Madan Municipality, Smolyan Province",hard,architecture,41.5643939,24.9701484,41.6245077,24.6849918,24.694522,recomputed_geodesic,,0.000000,False,2026-08-31T22:18:49.878Z,ogrr-2026-08-31T22-17-55-428Z-16e1d569-01f9-4021-a81d-a2f8eecd9add,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-03.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_021,Hungary,"Csongrád District, Csongrád-Csanád County",hard,landscape,46.7060180,20.0496719,45.8520016,19.7819996,97.145377,recomputed_geodesic,,0.000000,False,2026-08-31T22:21:09.945Z,ogrr-2026-08-31T22-20-02-590Z-3caaccea-b351-401d-a788-75852b6016b7,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-04.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_022,Latvia,"Ranka Parish, Gulbene Municipality",hard,infrastructure,57.1907677,26.1476727,56.9495985,25.5499935,45.117739,recomputed_geodesic,,0.000000,False,2026-08-31T22:24:31.748Z,ogrr-2026-08-31T22-23-22-389Z-33aaec0f-b4fe-43b0-a48f-57283660575e,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-05.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_023,Lithuania,"Pašakiai, Radviliškis District Municipality, Šiauliai County",hard,infrastructure,55.5966197,23.8297989,55.9850008,24.2500019,50.642007,recomputed_geodesic,,0.000000,False,2026-08-31T22:26:49.285Z,ogrr-2026-08-31T22-25-53-762Z-afbf4608-dbcc-4812-a058-50aa5a27f95d,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-06.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_024,Denmark,"Lemvig Municipality, Central Denmark Region",hard,landscape,56.6011250,8.1639420,56.9850052,9.6500087,100.367451,recomputed_geodesic,,0.000000,False,2026-08-31T22:29:28.443Z,ogrr-2026-08-31T22-28-16-358Z-f3ea2a66-f7c2-4ac9-ae24-4ddf2767af4a,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-07.json
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided,europe-hard,loc_025,Finland,"Utajärvi Municipality, North Ostrobothnia",hard,landscape,64.9428390,26.9554129,62.8924031,27.6782084,231.306422,recomputed_geodesic,,0.000000,False,2026-08-31T22:32:30.480Z,ogrr-2026-08-31T22-31-17-943Z-c0bfdd95-8186-40c0-a285-1505f69739d8,gemini 3.7 Flash - high (aid),gemini-3.7-flash-high-aided/europe-hard/rounds/round-08.json
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_001,France,Paris,easy,landmark,48.8521298,2.3696389,48.8532000,2.3693000,0.121585,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_fbf1cd6c06cd4b08be32203d,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_002,Germany,Berlin,easy,landmark,52.5206008,13.4151229,52.5200000,13.4115000,0.254844,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_432c9e9b4e5e4738b6534e72,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_003,Austria,Salzburg,easy,landmark,47.8005438,13.0529765,47.7982000,13.0563000,0.360418,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_ddc646986dd94282801d38a6,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_004,Czechia,Český Krumlov,easy,landmark,48.8126024,14.3129755,48.8128000,13.8125000,36.757748,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_1c9241cce02c46359e8b9ad6,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_005,Croatia,Pula,easy,landmark,44.8747121,13.8493020,44.8695000,13.8505000,0.586902,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_66c95844215d406f813793df,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_006,Poland,"Sieniawka, Gmina Bogatynia",easy,text,50.9008842,14.8455043,50.9450000,14.8450000,4.907870,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_7c4d00a0db20477da9571c85,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_007,Slovenia,"Višnja Gora, Ivančna Gorica Municipality",easy,text,45.9577599,14.7424922,45.9500000,14.7800000,3.033111,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_86fcd669a9dd4083b2be15eb,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-easy,loc_008,Norway,"Flåm, Aurland Municipality",easy,mixed,60.8634735,7.1179637,60.8635000,7.1130000,0.269741,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_de720341b042435abaa3bc86,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_009,Spain,Valencia,medium,architecture,39.4667928,-0.3661343,39.4690000,-0.3740000,0.719861,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_543fc6ac99a74a4480456083,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_010,Italy,Bologna,medium,architecture,44.4930672,11.3250143,45.4460000,9.1975000,198.443571,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_bbd3ae361c10408997694f80,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_011,Netherlands,Utrecht,medium,infrastructure,52.1124003,5.0797161,52.1560000,5.3870000,21.592513,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_4697b2f55762464b87f5c7a5,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_012,Belgium,"Merelbeke, Merelbeke-Melle",medium,mixed,50.9874591,3.7463905,52.1430000,4.4030000,136.386892,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_21acdb4d54154a39b6fd2b79,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_013,Portugal,Coimbra,medium,infrastructure,40.2155817,-8.4337562,40.2085000,-8.4245000,1.113210,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_23ff5a6de4e94ebaa92b0603,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_014,Sweden,Uppsala,medium,architecture,59.8481151,17.6140674,57.7820000,14.1620000,304.481022,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_9e541e1149244d4e8d5a9959,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
glm-5.3-flash-max,glm-5.3-flash-max/run-1,europe-medium,loc_015,Estonia,Tartu,medium,mixed,58.3478594,26.7197804,59.3850000,24.6900000,164.494063,recomputed_geodesic_from_verified_mcp_pin,,,False,,call_a46e924d660342779455cc9d,glm-5.3-flash-max,analysis/evidence/glm_final_predictions.csv
